Name,Total Calories (kcal),Total Fat (g),Saturated Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Dietary Fiber (g),Total Sugars (g),Protein (g),Vitamin D (mcg),Calcium (mg),Iron (mg),Potassium (mg),Monounsaturated Fat (g),Polyunsaturated Fat (g),Linoleic Acid (g),α-Linolenic Acid (g),Omega 3 - EPA (mg),Omega 3 - DHA (mg),Copper (mcg),Magnesium (mg),Phosphorus (mg),Selenium (mcg),Zinc (mg),Vitamin A (mcg),Vitamin B6 (mg),Vitamin B12 (mcg),Vitamin C (mg),Vitamin E (mg),Vitamin K (mcg),Folate (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Choline (mg),Vitamin B12 (mg),Copper (mg),Selenium (mg),Vitamin D (mg),Zinc (mcg),Iron (g),Phosphorus (mcg)
Falafel with Yogurt Sandwich,475,19,3,4,408,63,12,12,18,0,190,5,614,7,8,7,0.9,0,0,551,100,363,26,3,11,0.4,0.3,7,2,26,214,0.3,0.3,2,70,0,0,0,0,0,0,0
Fall Veggie Casserole,86,6,1,1,313,8,3,5,2,0,32,0,334,2,2,2,0.3,0,0,104,19,46,1,0,33,0.2,0,27,1,14,26,0.1,0.1,1,10,0,0,0,0,0,0,0
Farmers Market Gazpacho,121,1,0,0,44,27,7,16,5,0,89,3,1086,0,0,0,0,0,0,312,66,128,1,1,232,0.8,0,239,3,43,115,0.3,0.2,3,34,0,0,0,0,0,0,0
Farmers Market Salsa,95,0,0,0,236,19,6,3,5,0,43,2,400,0,0,0,0,0,0,190,38,109,1,1,16,0.1,0,14,1,5,58,0.2,0.1,1,25,0,0,0,0,0,0,0
Fat-Free Apple Crumb Dessert,155,1,0,0,7,39,5,30,1,0,38,1,209,0,0,0,0,0,0,71,17,36,2,0,4,0.1,0,9,0,4,6,0.1,0.1,0,7,0,0,0,0,0,0,0
Feather Rolls,103,3,1,13,90,16,2,2,3,0,22,1,90,1,1,1,0.2,0,2,76,25,81,12,1,13,0.1,0.1,0,0,3,30,0.2,0.1,1,17,0,0,0,0,0,0,0
Fiesta Hummus,123,4,1,0,231,17,4,4,6,0,69,1,224,1,2,2,0,0,0,137,27,111,3,1,10,0.1,0.1,7,0,4,50,0.1,0.1,0,27,0,0,0,0,0,0,0
Fiesta Lettuce Wraps and Pepper Boats,350,12,3,60,370,34,5,6,28,3,78,2,894,6,3,2,0.7,4,106,224,82,300,49,1,268,0.6,1.6,170,4,56,105,0.3,0.3,7,74,0,0,0,0,0,0,0
Fiesta Mix,211,7,2,0,132,35,5,13,6,1,295,8,314,3,2,2,0,0,0,178,58,171,8,6,112,0.8,2,2,4,1,276,0.6,0.6,9,14,0,0,0,0,0,0,0
Fiesta Rice Salad,210,4,1,0,26,35,9,4,9,0,53,3,618,2,2,2,0.3,0,0,293,70,184,6,1,160,0.3,0,53,1,42,124,0.2,0.1,2,37,0,0,0,0,0,0,0
Fish Braised in Green Curry with Potatoes,310,10,3,85,410,19,3,1,38,4,20,3,508,4,1,1,0.1,206,162,0,39,431,41,1,30,0.3,1.7,6,1,65,17,0.1,0.1,4,108,0,12000,0,0,0,0,0
Fish Tacos,169,3,1,47,87,14,3,2,23,3,46,1,443,1,1,1,0.1,4,106,119,50,249,46,1,18,0.2,1.5,9,1,21,20,0.1,0.1,4,49,0,0,0,0,0,0,0
Fish with Spinach,194,6,1,47,255,12,6,4,25,1,220,4,777,1,3,0,0.4,3,133,313,136,201,39,1,636,0.6,0.9,16,6,561,143,0.2,0.3,4,108,0,0,0,0,0,0,0
Five Happiness Fried Noodles,421,8,2,76,511,73,5,5,15,0,64,5,375,4,2,2,0.1,0,0,454,75,254,64,2,126,0.2,0.2,8,1,30,398,0.9,0.5,6,77,0,0,0,0,0,0,0
Flavored Water,3,0,0,0,0,1,0,0,0,0,3,0,9,0,0,0,0,0,0,5,1,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Flavorful Fried Rice,237,8,1,124,393,30,1,2,11,1,53,2,223,4,2,1,0.5,0,19,130,29,145,22,1,153,0.2,0.4,6,1,8,115,0.2,0.3,2,107,0,0,0,0,0,0,0
Flour Tortillas,115,3,0,0,166,19,1,0,3,0,31,1,27,1,1,1,0.2,0,0,38,6,37,8,0,0,0,0,0,0,3,73,0.2,0.1,1,3,0,0,0,0,0,0,0
Food Group Funny Face,503,14,4,7,185,78,17,39,23,0,148,6,1067,6,3,3,0.2,0,0,707,141,460,8,4,129,0.6,0.1,117,2,74,212,0.8,0.5,9,105,0,0,0,0,0,0,0
Four Layer Casserole,283,9,3,50,103,31,5,3,20,0,72,3,891,4,0,0,0.1,2,1,239,57,256,13,4,106,0.7,1.7,29,0,14,37,0.2,0.2,5,75,0,0,0,0,0,0,0
French Salad Dressing,68,6,1,0,110,5,0,4,0,0,3,0,51,2,2,2,0.3,0,0,19,3,5,0,0,9,0,0,1,1,7,2,0,0,0,2,0,0,0,0,0,0,0
French Spinach Frittata,121,8,2,251,313,3,1,1,10,1,95,2,280,3,2,1,0.1,2,22,112,33,149,21,1,231,0.1,0.8,10,1,161,90,0.1,0.4,0,155,0,0,0,0,0,0,0
Fresh Fruit with Cinnamon Yogurt Dip,93,1,1,3,41,19,2,16,4,0,125,0,263,0,0,0,0,0,0,40,17,94,3,1,14,0.1,0.3,27,0,1,22,0.1,0.2,0,14,0,0,0,0,0,0,0
Fresh Salsa,33,0,0,0,152,8,2,4,1,0,19,1,292,0,0,0,0,0,0,101,17,36,0,0,48,0.2,0,78,1,13,21,0.1,0.1,1,9,0,0,0,0,0,0,0
Fresh Tomato Salsa,21,1,0,0,99,4,1,2,1,0,7,0,103,0,0,0,0,0,0,27,5,12,0,0,14,0.1,0,9,0,3,7,0,0,0,3,0,0,0,0,0,0,0
Fresh Tomato Sauce,301,5,1,3,83,52,5,6,12,0,100,3,524,2,2,1,0.2,0,0,262,51,166,38,1,126,0.3,0.1,34,1,22,196,0.5,0.3,3,23,0,0,0,0,0,0,0
Fried Rice,215,8,1,71,311,26,3,2,11,0,33,1,244,3,3,2,0.3,1,10,144,58,174,20,1,114,0.4,0.2,16,1,16,25,0.1,0.2,3,71,0,0,0,0,0,0,0
Frosted Cake,253,5,2,50,136,48,1,31,4,0,75,2,105,2,1,1,0,0,7,119,17,92,6,1,66,0,0,0,1,3,63,0,0,1,42,0,0,0,0,0,0,0
Frozen Banana Pops,56,0,0,0,1,14,2,8,1,0,4,0,227,0,0,0,0,0,0,50,17,14,1,0,3,0.2,0,9,0,0,14,0,0.1,0,6,0,0,0,0,0,0,0
Frozen Fruit Cups,67,0,0,1,23,15,1,12,2,0,63,0,183,0,0,0,0,0,0,39,15,52,3,0,2,0.1,0.2,10,0,1,11,0,0.1,0,10,0,0,0,0,0,0,0
Frozen Fruit Pops,121,1,0,2,38,27,1,26,3,0,107,0,285,0,0,0,0,0,0,126,23,84,2,1,10,0.1,0.3,25,0,0,29,0.1,0.1,0,14,0,0,0,0,0,0,0
Frozen Pear Pops,97,1,1,4,47,19,1,18,4,0,120,0,266,0,0,0,0,0,0,62,17,100,2,1,11,0.1,0.3,19,0,0,28,0.1,0.2,0,13,0,0,0,0,0,0,0
